session_id,combination_id,selected_sources,xor_duration_ms,hkdf_duration_ms,total_duration_ms,master_key_bytes,salt_bytes,output_bytes
demo1_session,0,qkd,0.007953000022098422,0.5148370000824798,0.5254120001154661,32,32,32
demo3_eve,1,kyber,0.029493999591068132,0.05444999987957999,0.0922000003811263,32,32,32
demo4_aes,1,kyber,0.009074999979929999,0.04666299992095446,0.058148999869445106,32,32,32
demo4_chacha,4,qkd+qrng,0.022447999981523026,0.11505800011946121,0.14258500004871166,32,32,32
demo5_kyber1024,4,qkd+qrng,0.060508999922603834,0.18938999983220128,0.2657879999787838,32,32,32
demo5_kyber768,4,qkd+qrng,0.02388099983363645,0.09769300004336401,0.12500999991971184,32,32,32
demo1_session,0,qkd,0.015411000276799314,0.8344279999619175,0.8556620000490511,32,32,32
demo3_eve,1,kyber,0.017116999970312463,0.06696200034639332,0.08705199979885947,32,32,32
demo4_aes,1,kyber,0.012845000128436368,0.05780499986940413,0.07360200015682494,32,32,32
demo4_chacha,4,qkd+qrng,0.010490000022400636,0.04023099972982891,0.05300699967847322,32,32,32
demo5_kyber1024,4,qkd+qrng,0.04733400010081823,0.10836100000233273,0.16201399967030738,32,32,32
demo5_kyber768,4,qkd+qrng,0.012669000170717482,0.04615799980456359,0.06137199989098008,32,32,32
